submission_id,RT,adj_cond,age,botresponse,comments,condition,context,context_picture,education,enjoyment,experiment_id,fairprice,item,languages,picture,problems,question1,question2,response,sentence,sex,size_adj,size_target,startTime,text,trial_name,trial_number,understand
250,NA,congruent,61,Jessica,NA,predicative,You see a parade of animals.,images/animal_parade_small.png,some_college,2,6,.50,dogs,English,images/chihuahua.png,no,That,is small.,dog,You say to your friend:,female,small,small,1565034638730,This one is also in the parade.,main2,1,yes
250,NA,congruent,61,Jessica,NA,predicative,You see a parade of animals.,images/fish_parade_small.png,some_college,2,6,.50,fish,English,images/goldfish.png,no,That,is small.,fish,You say to your friend:,female,small,small,1565034638730,This one is also in the parade.,main2,2,yes
250,NA,congruent,61,Jessica,NA,predicative,You see a collection of plants.,images/plant_parade_big.png,some_college,2,6,.50,flowers,English,images/sunflower.png,no,That,is big.,sunflower,You say to your friend:,female,big,big,1565034638730,This one is also in the collection.,main2,3,yes
249,NA,incongruent,34,sarah,NA,predicative,You see a parade of animals.,images/animal_parade_small.png,graduated_college,1,6,.50,dogs,english,images/chihuahua.png,Pictures didn't load the first time.,That,is big.,horse,You say to your friend:,female,big,small,1565034669867,This one is also in the parade.,main1,1,confused
249,NA,incongruent,34,sarah,NA,predicative,You see the following items in a landscape.,images/landscape_big.png,graduated_college,1,6,.50,trees,english,images/redwood.png,Pictures didn't load the first time.,That,is small.,house,You say to your friend:,female,small,big,1565034669867,This one is also in the landscape.,main1,2,confused
249,NA,incongruent,34,sarah,NA,predicative,You see a parade of animals.,images/fish_parade_small.png,graduated_college,1,6,.50,fish,english,images/goldfish.png,Pictures didn't load the first time.,That,is big.,shark,You say to your friend:,female,big,small,1565034669867,This one is also in the parade.,main1,3,confused
249,NA,incongruent,34,sarah,NA,predicative,You see a parade of animals.,images/primates_parade_big.png,graduated_college,1,6,.50,primates,english,images/gorilla.png,Pictures didn't load the first time.,That,is small.,koala,You say to your friend:,female,small,big,1565034669867,This one is also in the parade.,main2,1,confused
249,NA,incongruent,34,sarah,NA,predicative,You see a collection of plants.,images/plant_parade_small.png,graduated_college,1,6,.50,flowers,english,images/daisy.png,Pictures didn't load the first time.,That,is big.,tree,You say to your friend:,female,big,small,1565034669867,This one is also in the collection.,main2,2,confused
249,NA,incongruent,34,sarah,NA,predicative,You see a parade of animals.,images/birds_parade_big.png,graduated_college,1,6,.50,birds,english,images/swan.png,Pictures didn't load the first time.,That,is small.,butterfly,You say to your friend:,female,small,big,1565034669867,This one is also in the parade.,main2,3,confused
248,NA,congruent,58,margaret,It was interesting.,predicative,You see a parade of animals.,images/birds_parade_small.png,graduated_college,1,6,0.50,birds,English,images/hummingbird.png,No I didn't have any problems.,That,is small.,bird,You say to your friend:,female,small,small,1565034496309,This one is also in the parade.,main1,1,yes
248,NA,congruent,58,margaret,It was interesting.,predicative,You see a parade of animals.,images/primates_parade_big.png,graduated_college,1,6,0.50,primates,English,images/gorilla.png,No I didn't have any problems.,That,is big.,gorilla,You say to your friend:,female,big,big,1565034496309,This one is also in the parade.,main1,2,yes
248,NA,congruent,58,margaret,It was interesting.,predicative,You see the following items in a landscape.,images/landscape_small.png,graduated_college,1,6,0.50,trees,English,images/bonsai.png,No I didn't have any problems.,That,is small.,plant,You say to your friend:,female,small,small,1565034496309,This one is also in the landscape.,main1,3,yes
248,NA,congruent,58,margaret,It was interesting.,predicative,You see a parade of animals.,images/fish_parade_big.png,graduated_college,1,6,0.50,fish,English,images/swordfish.png,No I didn't have any problems.,That,is big.,fish,You say to your friend:,female,big,big,1565034496309,This one is also in the parade.,main2,1,yes
248,NA,congruent,58,margaret,It was interesting.,predicative,You see a collection of plants.,images/plant_parade_big.png,graduated_college,1,6,0.50,flowers,English,images/sunflower.png,No I didn't have any problems.,That,is big.,flower,You say to your friend:,female,big,big,1565034496309,This one is also in the collection.,main2,2,yes
248,NA,congruent,58,margaret,It was interesting.,predicative,You see a parade of animals.,images/animal_parade_small.png,graduated_college,1,6,0.50,dogs,English,images/chihuahua.png,No I didn't have any problems.,That,is small.,dog,You say to your friend:,female,small,small,1565034496309,This one is also in the parade.,main2,3,yes
247,NA,congruent,19,sarah,NA,prenominal,You see a parade of animals.,images/fish_parade_small.png,some_college,1,6,.5,fish,English,images/goldfish.png,NA,That's a small,NA,scaly fish,You say to your friend:,male,small,small,1565034459779,This one is also in the parade.,main1,1,yes
247,NA,congruent,19,sarah,NA,prenominal,You see a collection of plants.,images/plant_parade_big.png,some_college,1,6,.5,flowers,English,images/sunflower.png,NA,That's a big,NA,sunflower,You say to your friend:,male,big,big,1565034459779,This one is also in the collection.,main1,2,yes
247,NA,congruent,19,sarah,NA,prenominal,You see a parade of animals.,images/birds_parade_big.png,some_college,1,6,.5,birds,English,images/swan.png,NA,That's a big,NA,duck,You say to your friend:,male,big,big,1565034459779,This one is also in the parade.,main1,3,yes
247,NA,congruent,19,sarah,NA,prenominal,You see the following items in a landscape.,images/landscape_big.png,some_college,1,6,.5,trees,English,images/redwood.png,NA,That's a big,NA,tree,You say to your friend:,male,big,big,1565034459779,This one is also in the landscape.,main2,1,yes
247,NA,congruent,19,sarah,NA,prenominal,You see a parade of animals.,images/primates_parade_small.png,some_college,1,6,.5,primates,English,images/spider-monkey.png,NA,That's a small,NA,monkey,You say to your friend:,male,small,small,1565034459779,This one is also in the parade.,main2,2,yes
247,NA,congruent,19,sarah,NA,prenominal,You see a parade of animals.,images/animal_parade_small.png,some_college,1,6,.5,dogs,English,images/chihuahua.png,NA,That's a small,NA,dog,You say to your friend:,male,small,small,1565034459779,This one is also in the parade.,main2,3,yes
246,NA,congruent,30,jessica,NA,predicative,You see the following items in a landscape.,images/landscape_small.png,graduated_college,2,6,.50,trees,English,images/bonsai.png,NA,That,is small.,tree,You say to your friend:,female,small,small,1565034497323,This one is also in the landscape.,main1,1,yes
246,NA,congruent,30,jessica,NA,predicative,You see a collection of plants.,images/plant_parade_big.png,graduated_college,2,6,.50,flowers,English,images/sunflower.png,NA,That,is big.,sunflower,You say to your friend:,female,big,big,1565034497323,This one is also in the collection.,main1,2,yes
246,NA,congruent,30,jessica,NA,predicative,You see a parade of animals.,images/birds_parade_small.png,graduated_college,2,6,.50,birds,English,images/hummingbird.png,NA,That,is small.,hummingbird,You say to your friend:,female,small,small,1565034497323,This one is also in the parade.,main1,3,yes
246,NA,congruent,30,jessica,NA,predicative,You see a parade of animals.,images/animal_parade_big.png,graduated_college,2,6,.50,dogs,English,images/great-dane.png,NA,That,is big.,dog,You say to your friend:,female,big,big,1565034497323,This one is also in the parade.,main2,1,yes
246,NA,congruent,30,jessica,NA,predicative,You see a parade of animals.,images/fish_parade_small.png,graduated_college,2,6,.50,fish,English,images/goldfish.png,NA,That,is small.,fish,You say to your friend:,female,small,small,1565034497323,This one is also in the parade.,main2,2,yes
246,NA,congruent,30,jessica,NA,predicative,You see a parade of animals.,images/primates_parade_big.png,graduated_college,2,6,.50,primates,English,images/gorilla.png,NA,That,is big.,gorilla,You say to your friend:,female,big,big,1565034497323,This one is also in the parade.,main2,3,yes
245,NA,congruent,26,Patricia,NA,predicative,You see a parade of animals.,images/birds_parade_small.png,some_college,2,6,.50,birds,English and Vietnamese,images/hummingbird.png,There were no issues.,That,is small.,hummingbird,You say to your friend:,female,small,small,1565034221520,This one is also in the parade.,main1,1,confused
245,NA,congruent,26,Patricia,NA,predicative,You see a collection of plants.,images/plant_parade_big.png,some_college,2,6,.50,flowers,English and Vietnamese,images/sunflower.png,There were no issues.,That,is big.,sunflower,You say to your friend:,female,big,big,1565034221520,This one is also in the collection.,main1,2,confused
245,NA,congruent,26,Patricia,NA,predicative,You see a parade of animals.,images/primates_parade_big.png,some_college,2,6,.50,primates,English and Vietnamese,images/gorilla.png,There were no issues.,That,is big.,gorilla,You say to your friend:,female,big,big,1565034221520,This one is also in the parade.,main1,3,confused
245,NA,congruent,26,Patricia,NA,predicative,You see a parade of animals.,images/fish_parade_small.png,some_college,2,6,.50,fish,English and Vietnamese,images/goldfish.png,There were no issues.,That,is small.,goldfish,You say to your friend:,female,small,small,1565034221520,This one is also in the parade.,main2,1,confused
245,NA,congruent,26,Patricia,NA,predicative,You see a parade of animals.,images/animal_parade_small.png,some_college,2,6,.50,dogs,English and Vietnamese,images/chihuahua.png,There were no issues.,That,is small.,chihuahua,You say to your friend:,female,small,small,1565034221520,This one is also in the parade.,main2,2,confused
245,NA,congruent,26,Patricia,NA,predicative,You see the following items in a landscape.,images/landscape_big.png,some_college,2,6,.50,trees,English and Vietnamese,images/redwood.png,There were no issues.,That,is big.,tree,You say to your friend:,female,big,big,1565034221520,This one is also in the landscape.,main2,3,confused
244,NA,congruent,NA,susan,NA,predicative,You see a parade of animals.,images/animal_parade_small.png,NA,NA,6,NA,dogs,NA,images/chihuahua.png,NA,That,is small.,animal,You say to your friend:,NA,small,small,1565034137525,This one is also in the parade.,main1,1,yes
244,NA,congruent,NA,susan,NA,predicative,You see a collection of plants.,images/plant_parade_big.png,NA,NA,6,NA,flowers,NA,images/sunflower.png,NA,That,is big.,plant,You say to your friend:,NA,big,big,1565034137525,This one is also in the collection.,main1,2,yes
244,NA,congruent,NA,susan,NA,predicative,You see a parade of animals.,images/primates_parade_big.png,NA,NA,6,NA,primates,NA,images/gorilla.png,NA,That,is big.,animal,You say to your friend:,NA,big,big,1565034137525,This one is also in the parade.,main1,3,yes
244,NA,congruent,NA,susan,NA,predicative,You see the following items in a landscape.,images/landscape_small.png,NA,NA,6,NA,trees,NA,images/bonsai.png,NA,That,is small.,plant,You say to your friend:,NA,small,small,1565034137525,This one is also in the landscape.,main2,1,yes
244,NA,congruent,NA,susan,NA,predicative,You see a parade of animals.,images/fish_parade_small.png,NA,NA,6,NA,fish,NA,images/goldfish.png,NA,That,is small.,animal,You say to your friend:,NA,small,small,1565034137525,This one is also in the parade.,main2,2,yes
244,NA,congruent,NA,susan,NA,predicative,You see a parade of animals.,images/birds_parade_big.png,NA,NA,6,NA,birds,NA,images/swan.png,NA,That,is big.,animal,You say to your friend:,NA,big,big,1565034137525,This one is also in the parade.,main2,3,yes
243,NA,incongruent,67,sarah,The timed waits made this work out to $5.06 an hour.,predicative,You see a parade of animals.,images/animal_parade_big.png,some_college,0,6,1.25,dogs,english,images/great-dane.png,NA,That,is small.,squirrel,You say to your friend:,male,small,big,1565034044675,This one is also in the parade.,main1,1,yes
243,NA,incongruent,67,sarah,The timed waits made this work out to $5.06 an hour.,predicative,You see a parade of animals.,images/fish_parade_small.png,some_college,0,6,1.25,fish,english,images/goldfish.png,NA,That,is big.,whale,You say to your friend:,male,big,small,1565034044675,This one is also in the parade.,main1,2,yes
243,NA,incongruent,67,sarah,The timed waits made this work out to $5.06 an hour.,predicative,You see a parade of animals.,images/birds_parade_big.png,some_college,0,6,1.25,birds,english,images/swan.png,NA,That,is small.,butterfly,You say to your friend:,male,small,big,1565034044675,This one is also in the parade.,main1,3,yes
243,NA,incongruent,67,sarah,The timed waits made this work out to $5.06 an hour.,predicative,You see the following items in a landscape.,images/landscape_big.png,some_college,0,6,1.25,trees,english,images/redwood.png,NA,That,is small.,house,You say to your friend:,male,small,big,1565034044675,This one is also in the landscape.,main2,1,yes
243,NA,incongruent,67,sarah,The timed waits made this work out to $5.06 an hour.,predicative,You see a collection of plants.,images/plant_parade_small.png,some_college,0,6,1.25,flowers,english,images/daisy.png,NA,That,is big.,flower,You say to your friend:,male,big,small,1565034044675,This one is also in the collection.,main2,2,yes
243,NA,incongruent,67,sarah,The timed waits made this work out to $5.06 an hour.,predicative,You see a parade of animals.,images/primates_parade_small.png,some_college,0,6,1.25,primates,english,images/spider-monkey.png,NA,That,is big.,flamingo,You say to your friend:,male,big,small,1565034044675,This one is also in the parade.,main2,3,yes
242,NA,congruent,29,barbara,NA,prenominal,You see the following items in a landscape.,images/landscape_small.png,some_college,1,6,0.50,trees,English,images/bonsai.png,"No, thank you",That's a small,NA,bonsai,You say to your friend:,male,small,small,1565034274260,This one is also in the landscape.,main1,1,yes
242,NA,congruent,29,barbara,NA,prenominal,You see a parade of animals.,images/fish_parade_small.png,some_college,1,6,0.50,fish,English,images/goldfish.png,"No, thank you",That's a small,NA,fish,You say to your friend:,male,small,small,1565034274260,This one is also in the parade.,main1,2,yes
242,NA,congruent,29,barbara,NA,prenominal,You see a parade of animals.,images/birds_parade_big.png,some_college,1,6,0.50,birds,English,images/swan.png,"No, thank you",That's a big,NA,bird,You say to your friend:,male,big,big,1565034274260,This one is also in the parade.,main1,3,yes
242,NA,congruent,29,barbara,NA,prenominal,You see a collection of plants.,images/plant_parade_small.png,some_college,1,6,0.50,flowers,English,images/daisy.png,"No, thank you",That's a small,NA,daisy,You say to your friend:,male,small,small,1565034274260,This one is also in the collection.,main2,1,yes
242,NA,congruent,29,barbara,NA,prenominal,You see a parade of animals.,images/primates_parade_big.png,some_college,1,6,0.50,primates,English,images/gorilla.png,"No, thank you",That's a big,NA,primate,You say to your friend:,male,big,big,1565034274260,This one is also in the parade.,main2,2,yes
242,NA,congruent,29,barbara,NA,prenominal,You see a parade of animals.,images/animal_parade_big.png,some_college,1,6,0.50,dogs,English,images/great-dane.png,"No, thank you",That's a big,NA,dog,You say to your friend:,male,big,big,1565034274260,This one is also in the parade.,main2,3,yes
241,NA,incongruent,27,Jennifer,NA,prenominal,You see a parade of animals.,images/primates_parade_big.png,some_college,2,6,0.50,primates,yes,images/gorilla.png,Little bit,That's a small,NA,parade,You say to your friend:,male,small,big,1565033924170,This one is also in the parade.,main1,1,yes
241,NA,incongruent,27,Jennifer,NA,prenominal,You see a parade of animals.,images/animal_parade_small.png,some_college,2,6,0.50,dogs,yes,images/chihuahua.png,Little bit,That's a big,NA,yes,You say to your friend:,male,big,small,1565033924170,This one is also in the parade.,main1,2,yes
241,NA,incongruent,27,Jennifer,NA,prenominal,You see a parade of animals.,images/fish_parade_small.png,some_college,2,6,0.50,fish,yes,images/goldfish.png,Little bit,That's a big,NA,yes,You say to your friend:,male,big,small,1565033924170,This one is also in the parade.,main1,3,yes
241,NA,incongruent,27,Jennifer,NA,prenominal,You see a collection of plants.,images/plant_parade_small.png,some_college,2,6,0.50,flowers,yes,images/daisy.png,Little bit,That's a big,NA,yes,You say to your friend:,male,big,small,1565033924170,This one is also in the collection.,main2,1,yes
241,NA,incongruent,27,Jennifer,NA,prenominal,You see a parade of animals.,images/birds_parade_big.png,some_college,2,6,0.50,birds,yes,images/swan.png,Little bit,That's a small,NA,yes,You say to your friend:,male,small,big,1565033924170,This one is also in the parade.,main2,2,yes
241,NA,incongruent,27,Jennifer,NA,prenominal,You see the following items in a landscape.,images/landscape_big.png,some_college,2,6,0.50,trees,yes,images/redwood.png,Little bit,That's a small,NA,yes,You say to your friend:,male,small,big,1565033924170,This one is also in the landscape.,main2,3,yes
240,NA,congruent,58,patricia,NA,predicative,You see the following items in a landscape.,images/landscape_big.png,some_high_school,1,6,0.50,trees,english,images/redwood.png,no,That,is big.,tree,You say to your friend:,male,big,big,1565034018777,This one is also in the landscape.,main1,1,yes
240,NA,congruent,58,patricia,NA,predicative,You see a parade of animals.,images/primates_parade_big.png,some_high_school,1,6,0.50,primates,english,images/gorilla.png,no,That,is big.,gorilla,You say to your friend:,male,big,big,1565034018777,This one is also in the parade.,main1,2,yes
240,NA,congruent,58,patricia,NA,predicative,You see a parade of animals.,images/fish_parade_small.png,some_high_school,1,6,0.50,fish,english,images/goldfish.png,no,That,is small.,fish,You say to your friend:,male,small,small,1565034018777,This one is also in the parade.,main1,3,yes
240,NA,congruent,58,patricia,NA,predicative,You see a collection of plants.,images/plant_parade_small.png,some_high_school,1,6,0.50,flowers,english,images/daisy.png,no,That,is small.,flower,You say to your friend:,male,small,small,1565034018777,This one is also in the collection.,main2,1,yes
240,NA,congruent,58,patricia,NA,predicative,You see a parade of animals.,images/birds_parade_big.png,some_high_school,1,6,0.50,birds,english,images/swan.png,no,That,is big.,swan,You say to your friend:,male,big,big,1565034018777,This one is also in the parade.,main2,2,yes
240,NA,congruent,58,patricia,NA,predicative,You see a parade of animals.,images/animal_parade_small.png,some_high_school,1,6,0.50,dogs,english,images/chihuahua.png,no,That,is small.,dog,You say to your friend:,male,small,small,1565034018777,This one is also in the parade.,main2,3,yes
239,NA,congruent,25,Mary,NA,prenominal,You see a parade of animals.,images/primates_parade_small.png,graduated_college,2,6,2,primates,english,images/spider-monkey.png,no,That's a small,NA,animal,You say to your friend:,male,small,small,1565032256567,This one is also in the parade.,main1,1,yes
239,NA,congruent,25,Mary,NA,prenominal,You see a parade of animals.,images/fish_parade_big.png,graduated_college,2,6,2,fish,english,images/swordfish.png,no,That's a big,NA,fish,You say to your friend:,male,big,big,1565032256567,This one is also in the parade.,main1,2,yes
239,NA,congruent,25,Mary,NA,prenominal,You see a parade of animals.,images/animal_parade_big.png,graduated_college,2,6,2,dogs,english,images/great-dane.png,no,That's a big,NA,dog,You say to your friend:,male,big,big,1565032256567,This one is also in the parade.,main1,3,yes
239,NA,congruent,25,Mary,NA,prenominal,You see a collection of plants.,images/plant_parade_small.png,graduated_college,2,6,2,flowers,english,images/daisy.png,no,That's a small,NA,plant,You say to your friend:,male,small,small,1565032256567,This one is also in the collection.,main2,1,yes
239,NA,congruent,25,Mary,NA,prenominal,You see the following items in a landscape.,images/landscape_small.png,graduated_college,2,6,2,trees,english,images/bonsai.png,no,That's a small,NA,leaf,You say to your friend:,male,small,small,1565032256567,This one is also in the landscape.,main2,2,yes
239,NA,congruent,25,Mary,NA,prenominal,You see a parade of animals.,images/birds_parade_big.png,graduated_college,2,6,2,birds,english,images/swan.png,no,That's a big,NA,goose,You say to your friend:,male,big,big,1565032256567,This one is also in the parade.,main2,3,yes
238,NA,congruent,28,jennifer,NA,prenominal,You see a parade of animals.,images/birds_parade_big.png,some_college,2,6,0.5,birds,English,images/swan.png,no,That's a big,NA,swan,You say to your friend:,female,big,big,1565033953723,This one is also in the parade.,main1,1,NA
238,NA,congruent,28,jennifer,NA,prenominal,You see a parade of animals.,images/primates_parade_small.png,some_college,2,6,0.5,primates,English,images/spider-monkey.png,no,That's a small,NA,monkey,You say to your friend:,female,small,small,1565033953723,This one is also in the parade.,main1,2,NA
238,NA,congruent,28,jennifer,NA,prenominal,You see a parade of animals.,images/animal_parade_big.png,some_college,2,6,0.5,dogs,English,images/great-dane.png,no,That's a big,NA,dog,You say to your friend:,female,big,big,1565033953723,This one is also in the parade.,main1,3,NA
238,NA,congruent,28,jennifer,NA,prenominal,You see a parade of animals.,images/fish_parade_big.png,some_college,2,6,0.5,fish,English,images/swordfish.png,no,That's a big,NA,swordfish,You say to your friend:,female,big,big,1565033953723,This one is also in the parade.,main2,1,NA
238,NA,congruent,28,jennifer,NA,prenominal,You see a collection of plants.,images/plant_parade_small.png,some_college,2,6,0.5,flowers,English,images/daisy.png,no,That's a small,NA,plant,You say to your friend:,female,small,small,1565033953723,This one is also in the collection.,main2,2,NA
238,NA,congruent,28,jennifer,NA,prenominal,You see the following items in a landscape.,images/landscape_small.png,some_college,2,6,0.5,trees,English,images/bonsai.png,no,That's a small,NA,bonzai tree,You say to your friend:,female,small,small,1565033953723,This one is also in the landscape.,main2,3,NA
